"id","herbarium_id","archive_filename","specimen_id","width","height","archive_file_size","jp2file_size","finalized","created_at","jp2filename","message"
"22555","1","prc_469751.tif","469751","9443","13389","379360888","5888044","1","2024-07-08 14:56:41","prc_469751.jp2",NULL
"22556","1","prc_469752.tif","469752","9443","13389","379360888","4866885","1","2024-07-08 14:56:41","prc_469752.jp2",NULL
"22557","1","prc_469753.tif","469753","9443","13389","379360888","7019455","1","2024-07-08 14:56:41","prc_469753.jp2",NULL
"22558","1","prc_469754.tif","469754","9443","13389","379360888","6214706","1","2024-07-08 14:56:41","prc_469754.jp2",NULL
"22559","1","prc_469755.tif","469755","9443","13389","379360888","4765326","1","2024-07-08 14:56:41","prc_469755.jp2",NULL
"22560","1","prc_469756.tif","469756","9443","13389","379360888","7997217","1","2024-07-08 14:56:41","prc_469756.jp2",NULL
"22561","1","prc_469771.tif","469771","9443","13389","379360888","10206771","1","2024-07-08 14:56:41","prc_469771.jp2",NULL
"22562","1","prc_469772.tif","469772","9443","13389","379360888","10593697","1","2024-07-08 14:56:41","prc_469772.jp2",NULL
"22563","1","prc_469773.tif","469773","9443","13389","379360888","11567162","1","2024-07-08 14:56:41","prc_469773.jp2",NULL
"22564","1","prc_469774.tif","469774","9443","13389","379360888","10798020","1","2024-07-08 14:56:41","prc_469774.jp2",NULL
"22565","1","prc_469775.tif","469775","9443","13389","379360888","12377907","1","2024-07-08 14:56:41","prc_469775.jp2",NULL
"22566","1","prc_469776.tif","469776","9443","13373","378907624","10252554","1","2024-07-08 14:56:41","prc_469776.jp2",NULL
"22567","1","prc_469777.tif","469777","9443","13373","378907624","9521724","1","2024-07-08 14:56:41","prc_469777.jp2",NULL
"22568","1","prc_469778.tif","469778","9443","13373","378907624","11821084","1","2024-07-08 14:56:41","prc_469778.jp2",NULL
"22569","1","prc_469779.tif","469779","9443","13373","378907624","17759994","1","2024-07-08 14:56:41","prc_469779.jp2",NULL
